1	г. Тула	Тульская область	490,508 	493,813 	492,161  
2	г. Киров	Кировская область	487,138 	483,176 	485,157  
3	г. Чебоксары	Чувашская Республика	468,725 	464,940 	466,833  
4	г. Калининград	Калининградская область	448,548 	441,376 	444,962  
5	г. Курск	Курская область	431,171 	428,741 	429,956  
6	г. Улан - Удэ	Республика Бурятия	421,453 	416,079 	418,766  
7	г. Ставрополь	Ставропольский край	419,816 	412,116 	415,966  
8	г. Магнитогорск	Челябинская область	414,897 	411,880 	413,389  
9	г. Тверь	Тверская область	411,042 	408,877 	409,960  
10	г. Иваново	Ивановская область	409,223 	409,075 	409,149  
11	г. Брянск	Брянская область	408,472 	410,837 	409,655  
12	г. Сочи	Краснодарский край	394,651 	368,011 	381,331  
13	г. Белгород	Белгородская область	379,508 	373,528 	376,518  
14	г. Нижний Тагил	Свердловская область	357,280 	358,378 	357,829  
15	г. Архангельск 	Архангельская область без Ненецкого автономного округа	350,368 	350,985 	350,677  
16	г. Владимир	Владимирская область	350,087 	347,930 	349,009  
17	г. Чита	Забайкальский край	335,760 	331,346 	333,553  
18	г. Калуга	Калужская область	334,191 	331,351 	332,771  
19	г. Сургут	Ханты-Мансийский автономный округ	332,313 	325,511 	328,912  
20	г. Смоленск	Смоленская область	330,961 	330,970 	330,966  
21	г. Волжский	Волгоградская область	326,841 	327,356 	327,099  
22	г. Курган	Курганская область	325,720 	325,565 	325,643  
23	г. Орёл	Орловская область	317,076 	318,136 	317,606  
24	г. Череповец	Вологодская область	316,758 	315,738 	316,248  
25	г. Вологда	Вологодская область	308,172 	306,487 	307,330  
26	г. Владикавказ	Республика Северная Осетия-Алания	307,310 	308,285 	307,798  
27	г. Саранск	Республика Мордовия	299,195 	298,287 	298,741  
28	г. Мурманск	Мурманская область 	299,148 	302,468 	300,808  
29	г. Якутск	Республика Саха (Якутия)	294,138 	286,456 	290,297  
30	г. Тамбов	Тамбовская область	284,972 	281,834 	283,403  
31	г. Грозный	Чеченская Республика	280,263 	277,414 	278,839  
32	г. Стерлитамак	Республика Башкортостан	277,048 	275,798 	276,423  
33	г. Кострома	Костромская область	273,382 	271,445 	272,414  
34	г. Петрозаводск	Республика Карелия	272,101 	268,946 	270,524  
35	г. Нижневартовск	Ханты-Мансийский автономный округ	265,994 	263,228 	264,611  
36	г. Йошкар-Ола	Республика Марий Эл	260,352 	257,015 	258,684  
37	г. Новороссийск	Краснодарский край	256,580 	251,013 	253,797  
38	г. Комсомольск-на-Амуре	Хабаровский край	254,934 	257,891 	256,413  
39	г. Таганрог	Ростовская область	253,587 	254,783 	254,185  
