1	г. Балашиха	Московская область	247,075 	235,336 	241,206 
2	г. Сыктывкар	Республика Коми	241,982 	240,111 	241,047 
3	г. Братск	Иркутская область	238,825 	241,273 	240,049 
4	г. Нальчик	Кабардино-Балкарская Республика	238,802 	239,337 	239,070 
5	г. Шахты	Ростовская область	237,407 	237,568 	237,488 
6	г. Дзержинск	Нижегородская область	235,840 	237,668 	236,754 
7	г. Нижнекамск	Республика Татарстан	235,605 	235,407 	235,506 
8	г. Орск	Оренбургская область	234,813 	236,390 	235,602 
9	г. Ангарск	Иркутская область	229,592 	231,340 	230,466 
10	г. Химки	Московская область	225,678 	221,084 	223,381 
11	г. Старый Оскол	Белгородская область	220,630 	220,816 	220,723 
12	г. Благовещенск	Хабаровский край	220,077 	217,644 	218,861 
13	г. Великий Новгород	Новгородская область	219,971 	219,925 	219,948 
14	г. Подольск	Московская область	218,537 	206,669 	212,603 
15	г. Энгельс	Саратовская область	217,776 	212,899 	215,338 
16	г. Псков	Псковская область	206,730 	206,154 	206,442 
17	г. Бийск	Алтайский край	204,039 	205,250 	204,645 
18	г. Прокопьевск 	Кемеровская область	202,672 	204,932 	203,802 
19	г. Рыбинск	Ярославская область	194,843 	196,565 	195,704 
20	г. Балаково	Саратовская область	194,573 	196,255 	195,414 
21	г. Южно-Сахалинск	Сахалинская область	192,734 	190,227 	191,481 
22	г. Армавир 	Краснодарский край	191,799 	191,389 	191,594 
23	г. Королёв	Московская область	187,811 	187,284 	187,548 
24	г. Северодвинск 	Архангельская область без Ненецкого автономного округа	187,284 	188,539 	187,912 
25	г. Люберцы	Московская область	185,067 	181,097 	183,082 
26	г. Мытищи	Московская область	183,224 	178,672 	180,948 
27	г. Петропавловск-Камчатский	Камчатский край	182,711 	181,618 	182,165 
28	г. Норильск	Красноярский край	176,559 	177,738 	177,149 
29	г. Сызрань 	Самарская область	176,057 	176,901 	176,479 
30	г. Новочеркасск	Ростовская область	173,464 	173,140 	173,302 
31	г. Абакан	Республика Хакасия	173,205 	169,760 	171,483 
32	г. Каменск-Уральский	Свердловская область	171,483 	172,145 	171,814 
33	г. Златоуст	Челябинская область	170,920 	172,318 	171,619 
34	г. Волгодонск	Ростовская область	170,074 	170,126 	170,100 
35	г. Находка	Приморский край	166,819 	165,072 	165,946 
36	г. Электросталь	Московская область	157,409 	156,558 	156,984 
37	г. Уссурийск	Приморский край	156,442 	158,358 	157,400 
