38	г. Салават	Республика Башкортостан	154,593 	154,884 	154,739 
39	г. Миасс	Челябинская область	150,824 	150,665 	150,745 
40	г. Березники 	Пермский край	150,696 	152,966 	151,831 
41	г. Альметьевск	Республика Татарстан	149,894 	149,044 	149,469 
42	г. Рубцовск	Алтайский край	147,425 	145,834 	146,630 
43	г. Железнодорожный	Московская область	146,251 	141,648 	143,950 
44	г. Пятигорск	Ставропольский край	145,952 	145,427 	145,690 
45	г. Майкоп	Республика Адыгея	144,544 	144,683 	144,614 
46	г. Коломна	Московская область	144,316 	144,707 	144,512 
47	г. Копейск	Челябинская область	141,878 	139,875 	140,877 
48	г. Ковров	Владимирская область	140,981 	142,164 	141,573 
49	г. Одинцово	Московская область	140,439 	137,810 	139,125 
50	г. Хасавюрт	Республика Дагестан	135,329 	133,858 	134,594 
51	г. Красногорск	Московская область	132,036 	127,600 	129,818 
52	г. Кисловодск	Ставропольский край	129,949 	129,355 	129,652 
53	г. Новомосковск	Тульская область	127,984 	128,902 	128,443 
54	г. Серпухов	Московская область	127,125 	126,845 	126,985 
55	г. Нефтеюганск	Ханты-Мансийский автономный округ	125,850 	125,882 	125,866 
56	г. Первоуральск 	Свердловская область	125,573 	125,490 	125,532 
57	г. Черкесск	Карачаево-Черкесская Республика	124,951 	127,552 	126,252 
58	г. Нефтекамск	Республика Башкортостан	124,005 	123,540 	123,773 
59	г. Новочебоксарск	Чувашская Республика	123,992 	123,922 	123,957 
60	г. Орехово-Зуево	Московская область	120,699 	121,377 	121,038 
61	г. Дербент	Республика Дагестан	120,470 	119,813 	120,142 
62	г. Димитровград	Ульяновская область	118,513 	119,999 	119,256 
63	г. Невинномысск	Ставропольский край	117,638 	117,663 	117,651 
64	г. Батайск	Ростовская область	117,405 	115,696 	116,551 
65	г. Щёлково	Московская область	116,366 	112,993 	114,680 
66	г. Новый Уренгой 	Ямало-Ненецкий автономный округ 	115,753 	116,450 	116,102 
67	г. Камышин	Волгоградская область	115,070 	116,724 	115,897 
68	г. Кызыл	Республика Тыва	113,986 	113,333 	113,660 
69	г. Октябрьский	Республика Башкортостан	112,249 	111,551 	111,900 
70	г. Муром	Владимирская область	111,474 	112,609 	112,042 
71	г. Новошахтинск	Ростовская область	109,468 	110,122 	109,795 
72	г. Северск	Томская область	108,950 	109,594 	109,272 
73	г. Домодедово	Московская область	108,223 	104,662 	106,443 
74	г. Жуковский	Московская область	107,552 	106,872 	107,212 
75	г. Ноябрьск 	Ямало-Ненецкий автономный округ 	107,447 	108,087 	107,767 
76	г. Обнинск	Калужская область	107,319 	106,023 	106,671 
77	г. Сергиев Посад	Московская область	106,718 	108,490 	107,604 
78	г. Ачинск	Красноярский край	106,502 	107,583 	107,043 
79	г. Елец	Липецкая область 	106,377 	106,978 	106,678 
80	г. Пушкино	Московская область	106,121 	104,754 	105,438 
81	г. Новокуйбышевск 	Самарская область	106,023 	106,883 	106,453 
82	г. Назрань	Республика Ингушетия	105,823 	102,471 	104,147 
83	г. Каспийск	Республика Дагестан	105,106 	103,181 	104,144 
84	г. Арзамас	Нижегородская область	105,065 	105,344 	105,205 
85	г. Элиста	Республика Калмыкия	104,017 	104,238 	104,128 
86	г. Ессентуки	Ставропольский край	103,093 	102,269 	102,681 
87	г. Раменское	Московская область	103,069 	100,755 	101,912 
88	г. Артем	Приморский край	102,405 	102,451 	102,428 
89	г. Ногинск	Московская область	101,897 	101,834 	101,866 
90	г. Бердск	Новосибирская область	101,679 	100,259 	100,969 
